label,triplet,sentence,verb_id,object_id,object_text,count,train_count,eval_count,in_train
18,"(76, 1)",a photo of a person riding a bicycle,76,1,a photo of a bicycle,2099,2099,0,True
19,"(87, 1)",a photo of a person sitting on a bicycle,87,1,a photo of a bicycle,1808,1808,0,True
20,"(98, 1)",a photo of a person straddling a bicycle,98,1,a photo of a bicycle,2147,2147,0,True
196,"(112, 62)",a photo of a person watching a tv,112,62,a photo of a tv,197,197,0,True
108,"(24, 60)",a photo of a person eating at a dining table,24,60,a photo of a dining table,2222,2222,0,True
109,"(86, 60)",a photo of a person sitting at a dining table,86,60,a photo of a dining table,3024,3024,0,True
588,"(27, 40)",a photo of a person filling a wine glass,27,40,a photo of a wine glass,27,27,0,True
376,"(16, 43)",a photo of a person cutting with a knife,16,43,a photo of a knife,208,208,0,True
377,"(36, 43)",a photo of a person holding a knife,36,43,a photo of a knife,557,557,0,True
380,"(115, 43)",a photo of a person wielding a knife,115,43,a photo of a knife,568,568,0,True
467,"(43, 30)",a photo of a person jumping a skis,43,30,a photo of a skis,117,117,0,True
470,"(76, 30)",a photo of a person riding a skis,76,30,a photo of a skis,631,631,0,True
471,"(93, 30)",a photo of a person standing on a skis,93,30,a photo of a skis,807,807,0,True
472,"(114, 30)",a photo of a person wearing a skis,114,30,a photo of a skis,936,936,0,True
208,"(8, 24)",a photo of a person carrying a backpack,8,24,a photo of a backpack,908,908,0,True
201,"(36, 47)",a photo of a person holding an apple,36,47,a photo of an apple,217,217,0,True
432,"(58, 72)",a photo of a person opening a refrigerator,58,72,a photo of a refrigerator,22,22,0,True
182,"(83, 18)",a photo of a person shearing a sheep,83,18,a photo of a sheep,108,108,0,True
478,"(43, 31)",a photo of a person jumping a snowboard,43,31,a photo of a snowboard,340,340,0,True
480,"(93, 31)",a photo of a person standing on a snowboard,93,31,a photo of a snowboard,625,625,0,True
479,"(76, 31)",a photo of a person riding a snowboard,76,31,a photo of a snowboard,595,595,0,True
481,"(114, 31)",a photo of a person wearing a snowboard,114,31,a photo of a snowboard,691,691,0,True
56,"(21, 5)",a photo of a person driving a bus,21,5,a photo of a bus,448,445,3,True
60,"(76, 5)",a photo of a person riding a bus,76,5,a photo of a bus,1443,1443,0,True
61,"(87, 5)",a photo of a person sitting on a bus,87,5,a photo of a bus,915,915,0,True
89,"(87, 56)",a photo of a person sitting on a chair,87,56,a photo of a chair,1186,1186,0,True
248,"(36, 73)",a photo of a person holding a book,36,73,a photo of a book,807,807,0,True
249,"(58, 73)",a photo of a person opening a book,58,73,a photo of a book,551,551,0,True
250,"(73, 73)",a photo of a person reading a book,73,73,a photo of a book,680,680,0,True
589,"(36, 40)",a photo of a person holding a wine glass,36,40,a photo of a wine glass,400,400,0,True
544,"(114, 27)",a photo of a person wearing a tie,114,27,a photo of a tie,798,798,0,True
67,"(21, 2)",a photo of a person driving a car,21,2,a photo of a car,358,353,5,True
72,"(62, 2)",a photo of a person parking a car,62,2,a photo of a car,26,26,0,True
73,"(76, 2)",a photo of a person riding a car,76,2,a photo of a car,574,574,0,True
506,"(8, 28)",a photo of a person carrying a suitcase,8,28,a photo of a suitcase,223,223,0,True
508,"(36, 28)",a photo of a person holding a suitcase,36,28,a photo of a suitcase,228,227,1,True
576,"(8, 25)",a photo of a person carrying a umbrella,8,25,a photo of a umbrella,996,996,0,True
146,"(36, 3)",a photo of a person holding a motorcycle,36,3,a photo of a motorcycle,966,964,2,True
446,"(36, 76)",a photo of a person holding a scissors,36,76,a photo of a scissors,242,242,0,True
447,"(58, 76)",a photo of a person opening a scissors,58,76,a photo of a scissors,89,89,0,True
23,"(57, 1)",a photo of a person and a bicycle,57,1,a photo of a bicycle,342,342,0,True
457,"(43, 36)",a photo of a person jumping a skateboard,43,36,a photo of a skateboard,950,950,0,True
459,"(76, 36)",a photo of a person riding a skateboard,76,36,a photo of a skateboard,1599,1599,0,True
461,"(93, 36)",a photo of a person standing on a skateboard,93,36,a photo of a skateboard,1412,1412,0,True
393,"(13, 64)",a photo of a person controlling a mouse,13,64,a photo of a mouse,46,46,0,True
394,"(36, 64)",a photo of a person holding a mouse,36,64,a photo of a mouse,55,55,0,True
489,"(8, 32)",a photo of a person carrying a sports ball,8,32,a photo of a sports ball,169,169,0,True
491,"(19, 32)",a photo of a person dribbling a sports ball,19,32,a photo of a sports ball,114,114,0,True
493,"(36, 32)",a photo of a person holding a sports ball,36,32,a photo of a sports ball,324,324,0,True
492,"(35, 32)",a photo of a person hitting a sports ball,35,32,a photo of a sports ball,210,210,0,True
162,"(36, 0)",a photo of a person holding a person,36,0,a photo of a person,510,510,0,True
329,"(57, 10)",a photo of a person and a fire hydrant,57,10,a photo of a fire hydrant,196,196,0,True
225,"(8, 34)",a photo of a person carrying a baseball bat,8,34,a photo of a baseball bat,80,80,0,True
226,"(36, 34)",a photo of a person holding a baseball bat,36,34,a photo of a baseball bat,687,686,1,True
230,"(115, 34)",a photo of a person wielding a baseball bat,115,34,a photo of a baseball bat,599,599,0,True
462,"(57, 36)",a photo of a person and a skateboard,57,36,a photo of a skateboard,103,103,0,True
370,"(30, 33)",a photo of a person flying a kite,30,33,a photo of a kite,607,607,0,True
9,"(57, 4)",a photo of a person and an airplane,57,4,a photo of an airplane,239,239,0,True
75,"(57, 2)",a photo of a person and a car,57,2,a photo of a car,877,877,0,True
156,"(108, 3)",a photo of a person turning a motorcycle,108,3,a photo of a motorcycle,254,254,0,True
194,"(13, 62)",a photo of a person controlling a tv,13,62,a photo of a tv,29,29,0,True
264,"(3, 55)",a photo of a person blowing a cake,3,55,a photo of a cake,312,312,0,True
94,"(87, 57)",a photo of a person sitting on a couch,87,57,a photo of a couch,888,888,0,True
507,"(18, 28)",a photo of a person dragging a suitcase,18,28,a photo of a suitcase,113,113,0,True
177,"(36, 18)",a photo of a person holding a sheep,36,18,a photo of a sheep,168,168,0,True
148,"(43, 3)",a photo of a person jumping a motorcycle,43,3,a photo of a motorcycle,123,122,1,True
10,"(8, 1)",a photo of a person carrying a bicycle,8,1,a photo of a bicycle,129,22,107,True
21,"(110, 1)",a photo of a person walking a bicycle,110,1,a photo of a bicycle,178,178,0,True
106,"(57, 19)",a photo of a person and a cow,57,19,a photo of a cow,424,424,0,True
338,"(36, 29)",a photo of a person holding a frisbee,36,29,a photo of a frisbee,410,410,0,True
38,"(76, 8)",a photo of a person riding a boat,76,8,a photo of a boat,3707,3707,0,True
40,"(79, 8)",a photo of a person sailing a boat,79,8,a photo of a boat,359,359,0,True
42,"(93, 8)",a photo of a person standing on a boat,93,8,a photo of a boat,1524,1524,0,True
193,"(57, 6)",a photo of a person and a train,57,6,a photo of a train,213,213,0,True
363,"(8, 66)",a photo of a person carrying a keyboard,8,66,a photo of a keyboard,43,43,0,True
365,"(36, 66)",a photo of a person holding a keyboard,36,66,a photo of a keyboard,46,46,0,True
26,"(36, 14)",a photo of a person holding a bird,36,14,a photo of a bird,127,127,0,True
521,"(49, 37)",a photo of a person lying on a surfboard,49,37,a photo of a surfboard,28,28,0,True
523,"(76, 37)",a photo of a person riding a surfboard,76,37,a photo of a surfboard,214,214,0,True
283,"(8, 67)",a photo of a person carrying a cell phone,8,67,a photo of a cell phone,170,170,0,True
284,"(36, 67)",a photo of a person holding a cell phone,36,67,a photo of a cell phone,510,510,0,True
287,"(101, 67)",a photo of a person talking on a cell phone,101,67,a photo of a cell phone,224,224,0,True
39,"(77, 8)",a photo of a person rowing a boat,77,8,a photo of a boat,686,686,0,True
167,"(102, 0)",a photo of a person teaching a person,102,0,a photo of a person,139,139,0,True
385,"(73, 63)",a photo of a person reading a laptop,73,63,a photo of a laptop,605,605,0,True
93,"(49, 57)",a photo of a person lying on a couch,49,57,a photo of a couch,226,226,0,True
265,"(8, 55)",a photo of a person carrying a cake,8,55,a photo of a cake,101,101,0,True
268,"(36, 55)",a photo of a person holding a cake,36,55,a photo of a cake,137,137,0,True
271,"(67, 55)",a photo of a person picking up a cake,67,55,a photo of a cake,74,74,0,True
476,"(32, 31)",a photo of a person grinding a snowboard,32,31,a photo of a snowboard,59,56,3,True
477,"(36, 31)",a photo of a person holding a snowboard,36,31,a photo of a snowboard,154,153,1,True
297,"(36, 41)",a photo of a person holding a cup,36,41,a photo of a cup,302,302,0,True
85,"(57, 15)",a photo of a person and a cat,57,15,a photo of a cat,76,76,0,True
45,"(57, 8)",a photo of a person and a boat,57,8,a photo of a boat,360,360,0,True
336,"(2, 29)",a photo of a person blocking a frisbee,2,29,a photo of a frisbee,83,83,0,True
340,"(104, 29)",a photo of a person throwing a frisbee,104,29,a photo of a frisbee,220,220,0,True
232,"(36, 35)",a photo of a person holding a baseball glove,36,35,a photo of a baseball glove,196,194,2,True
233,"(114, 35)",a photo of a person wearing a baseball glove,114,35,a photo of a baseball glove,192,192,0,True
378,"(95, 43)",a photo of a person sticking a knife,95,43,a photo of a knife,40,40,0,True
187,"(21, 6)",a photo of a person driving a train,21,6,a photo of a train,109,107,2,True
190,"(76, 6)",a photo of a person riding a train,76,6,a photo of a train,529,529,0,True
191,"(87, 6)",a photo of a person sitting on a train,87,6,a photo of a train,284,284,0,True
228,"(99, 34)",a photo of a person swinging a baseball bat,99,34,a photo of a baseball bat,321,321,0,True
87,"(36, 56)",a photo of a person holding a chair,36,56,a photo of a chair,110,110,0,True
88,"(49, 56)",a photo of a person lying on a chair,49,56,a photo of a chair,77,77,0,True
200,"(23, 47)",a photo of a person eating an apple,23,47,a photo of an apple,49,49,0,True
455,"(32, 36)",a photo of a person grinding a skateboard,32,36,a photo of a skateboard,252,252,0,True
448,"(57, 76)",a photo of a person and a scissors,57,76,a photo of a scissors,25,25,0,True
314,"(36, 20)",a photo of a person holding an elephant,36,20,a photo of an elephant,107,106,1,True
319,"(65, 20)",a photo of a person petting an elephant,65,20,a photo of an elephant,79,79,0,True
197,"(57, 62)",a photo of a person and a tv,57,62,a photo of a tv,213,213,0,True
86,"(8, 56)",a photo of a person carrying a chair,8,56,a photo of a chair,51,51,0,True
356,"(8, 52)",a photo of a person carrying a hot dog,8,52,a photo of a hot dog,141,141,0,True
359,"(23, 52)",a photo of a person eating a hot dog,23,52,a photo of a hot dog,99,99,0,True
360,"(36, 52)",a photo of a person holding a hot dog,36,52,a photo of a hot dog,214,214,0,True
140,"(78, 17)",a photo of a person running a horse,78,17,a photo of a horse,488,488,0,True
421,"(15, 53)",a photo of a person cutting a pizza,15,53,a photo of a pizza,47,47,0,True
147,"(41, 3)",a photo of a person inspecting a motorcycle,41,3,a photo of a motorcycle,61,59,2,True
282,"(57, 51)",a photo of a person and a carrot,57,51,a photo of a carrot,44,44,0,True
110,"(57, 60)",a photo of a person and a dining table,57,60,a photo of a dining table,194,194,0,True
111,"(8, 16)",a photo of a person carrying a dog,8,16,a photo of a dog,96,96,0,True
115,"(36, 16)",a photo of a person holding a dog,36,16,a photo of a dog,324,324,0,True
483,"(36, 44)",a photo of a person holding a spoon,36,44,a photo of a spoon,238,238,0,True
502,"(36, 11)",a photo of a person holding a stop sign,36,11,a photo of a stop sign,21,21,0,True
240,"(49, 59)",a photo of a person lying on a bed,49,59,a photo of a bed,323,323,0,True
163,"(39, 0)",a photo of a person hugging a person,39,0,a photo of a person,261,261,0,True
245,"(87, 13)",a photo of a person sitting on a bench,87,13,a photo of a bench,1943,1943,0,True
413,"(57, 69)",a photo of a person and an oven,57,69,a photo of an oven,63,63,0,True
235,"(26, 21)",a photo of a person feeding a bear,26,21,a photo of a bear,20,20,0,True
495,"(44, 32)",a photo of a person kicking a sports ball,44,32,a photo of a sports ball,279,279,0,True
488,"(2, 32)",a photo of a person blocking a sports ball,2,32,a photo of a sports ball,51,51,0,True
307,"(23, 54)",a photo of a person eating a donut,23,54,a photo of a donut,122,122,0,True
308,"(36, 54)",a photo of a person holding a donut,36,54,a photo of a donut,270,270,0,True
41,"(87, 8)",a photo of a person sitting on a boat,87,8,a photo of a boat,2215,2215,0,True
128,"(57, 16)",a photo of a person and a dog,57,16,a photo of a dog,195,195,0,True
159,"(57, 3)",a photo of a person and a motorcycle,57,3,a photo of a motorcycle,475,475,0,True
3,"(30, 4)",a photo of a person flying an airplane,30,4,a photo of an airplane,177,176,1,True
6,"(76, 4)",a photo of a person riding an airplane,76,4,a photo of an airplane,279,279,0,True
7,"(87, 4)",a photo of a person sitting on an airplane,87,4,a photo of an airplane,303,303,0,True
557,"(57, 61)",a photo of a person and a toilet,57,61,a photo of a toilet,96,96,0,True
374,"(70, 33)",a photo of a person pulling a kite,70,33,a photo of a kite,378,378,0,True
164,"(45, 0)",a photo of a person kissing a person,45,0,a photo of a person,62,62,0,True
68,"(38, 2)",a photo of a person hosing a car,38,2,a photo of a car,57,57,0,True
69,"(41, 2)",a photo of a person inspecting a car,41,2,a photo of a car,81,80,1,True
74,"(111, 2)",a photo of a person washing a car,111,2,a photo of a car,162,162,0,True
32,"(21, 8)",a photo of a person driving a boat,21,8,a photo of a boat,201,200,1,True
430,"(36, 72)",a photo of a person holding a refrigerator,36,72,a photo of a refrigerator,37,37,0,True
320,"(76, 20)",a photo of a person riding an elephant,76,20,a photo of an elephant,447,447,0,True
475,"(8, 31)",a photo of a person carrying a snowboard,8,31,a photo of a snowboard,36,36,0,True
454,"(28, 36)",a photo of a person flipping a skateboard,28,36,a photo of a skateboard,423,423,0,True
285,"(73, 67)",a photo of a person reading a cell phone,73,67,a photo of a cell phone,181,181,0,True
288,"(103, 67)",a photo of a person texting on a cell phone,103,67,a photo of a cell phone,129,129,0,True
434,"(36, 65)",a photo of a person holding a remote,36,65,a photo of a remote,181,181,0,True
435,"(68, 65)",a photo of a person pointing a remote,68,65,a photo of a remote,60,60,0,True
53,"(57, 39)",a photo of a person and a bottle,57,39,a photo of a bottle,466,466,0,True
346,"(112, 23)",a photo of a person watching a giraffe,112,23,a photo of a giraffe,374,374,0,True
215,"(8, 46)",a photo of a person carrying a banana,8,46,a photo of a banana,259,259,0,True
218,"(36, 46)",a photo of a person holding a banana,36,46,a photo of a banana,308,308,0,True
304,"(57, 41)",a photo of a person and a cup,57,41,a photo of a cup,286,286,0,True
375,"(57, 33)",a photo of a person and a kite,57,33,a photo of a kite,97,97,0,True
185,"(57, 18)",a photo of a person and a sheep,57,18,a photo of a sheep,462,462,0,True
37,"(75, 8)",a photo of a person repairing a boat,75,8,a photo of a boat,54,54,0,True
371,"(36, 33)",a photo of a person holding a kite,36,33,a photo of a kite,485,485,0,True
310,"(67, 54)",a photo of a person picking up a donut,67,54,a photo of a donut,82,82,0,True
91,"(57, 56)",a photo of a person and a chair,57,56,a photo of a chair,288,288,0,True
388,"(57, 63)",a photo of a person and a laptop,57,63,a photo of a laptop,184,184,0,True
442,"(36, 48)",a photo of a person holding a sandwich,36,48,a photo of a sandwich,188,188,0,True
76,"(22, 15)",a photo of a person drying a cat,22,15,a photo of a cat,4,1,3,True
78,"(36, 15)",a photo of a person holding a cat,36,15,a photo of a cat,158,158,0,True
83,"(111, 15)",a photo of a person washing a cat,111,15,a photo of a cat,3,3,0,True
347,"(57, 23)",a photo of a person and a giraffe,57,23,a photo of a giraffe,90,90,0,True
383,"(36, 63)",a photo of a person holding a laptop,36,63,a photo of a laptop,226,226,0,True
321,"(110, 20)",a photo of a person walking an elephant,110,20,a photo of an elephant,181,181,0,True
515,"(57, 28)",a photo of a person and a suitcase,57,28,a photo of a suitcase,742,742,0,True
337,"(9, 29)",a photo of a person catching a frisbee,9,29,a photo of a frisbee,295,295,0,True
366,"(109, 66)",a photo of a person typing on a keyboard,109,66,a photo of a keyboard,215,215,0,True
528,"(8, 77)",a photo of a person carrying a teddy bear,8,77,a photo of a teddy bear,45,45,0,True
529,"(36, 77)",a photo of a person holding a teddy bear,36,77,a photo of a teddy bear,268,268,0,True
530,"(39, 77)",a photo of a person hugging a teddy bear,39,77,a photo of a teddy bear,56,56,0,True
267,"(23, 55)",a photo of a person eating a cake,23,55,a photo of a cake,70,70,0,True
169,"(57, 0)",a photo of a person and a person,57,0,a photo of a person,640,640,0,True
533,"(8, 38)",a photo of a person carrying a tennis racket,8,38,a photo of a tennis racket,187,187,0,True
536,"(99, 38)",a photo of a person swinging a tennis racket,99,38,a photo of a tennis racket,80,80,0,True
79,"(39, 15)",a photo of a person hugging a cat,39,15,a photo of a cat,76,76,0,True
294,"(57, 74)",a photo of a person and a clock,57,74,a photo of a clock,432,432,0,True
414,"(11, 12)",a photo of a person checking a parking meter,11,12,a photo of a parking meter,96,35,61,True
387,"(109, 63)",a photo of a person typing on a laptop,109,63,a photo of a laptop,245,245,0,True
97,"(34, 19)",a photo of a person herding a cow,34,19,a photo of a cow,224,224,0,True
105,"(110, 19)",a photo of a person walking a cow,110,19,a photo of a cow,120,120,0,True
103,"(65, 19)",a photo of a person petting a cow,65,19,a photo of a cow,46,46,0,True
138,"(72, 17)",a photo of a person racing a horse,72,17,a photo of a horse,214,214,0,True
566,"(57, 9)",a photo of a person and a traffic light,57,9,a photo of a traffic light,597,597,0,True
4,"(41, 4)",a photo of a person inspecting an airplane,41,4,a photo of an airplane,193,192,1,True
130,"(33, 17)",a photo of a person grooming a horse,33,17,a photo of a horse,35,35,0,True
137,"(65, 17)",a photo of a person petting a horse,65,17,a photo of a horse,84,84,0,True
168,"(48, 0)",a photo of a person licking a person,48,0,a photo of a person,7,7,0,True
263,"(57, 50)",a photo of a person and a broccoli,57,50,a photo of a broccoli,22,22,0,True
411,"(75, 69)",a photo of a person repairing an oven,75,69,a photo of an oven,18,18,0,True
335,"(57, 42)",a photo of a person and a fork,57,42,a photo of a fork,129,129,0,True
160,"(8, 0)",a photo of a person carrying a person,8,0,a photo of a person,86,86,0,True
217,"(23, 46)",a photo of a person eating a banana,23,46,a photo of a banana,113,113,0,True
277,"(36, 51)",a photo of a person holding a carrot,36,51,a photo of a carrot,194,194,0,True
278,"(64, 51)",a photo of a person peeling a carrot,64,51,a photo of a carrot,22,22,0,True
296,"(20, 41)",a photo of a person drinking with a cup,20,41,a photo of a cup,113,113,0,True
300,"(85, 41)",a photo of a person sipping a cup,85,41,a photo of a cup,80,80,0,True
456,"(36, 36)",a photo of a person holding a skateboard,36,36,a photo of a skateboard,394,394,0,True
587,"(57, 75)",a photo of a person and a vase,57,75,a photo of a vase,175,175,0,True
518,"(36, 37)",a photo of a person holding a surfboard,36,37,a photo of a surfboard,342,305,37,True
98,"(36, 19)",a photo of a person holding a cow,36,19,a photo of a cow,94,94,0,True
516,"(8, 37)",a photo of a person carrying a surfboard,8,37,a photo of a surfboard,225,225,0,True
500,"(104, 32)",a photo of a person throwing a sports ball,104,32,a photo of a sports ball,133,133,0,True
594,"(57, 40)",a photo of a person and a wine glass,57,40,a photo of a wine glass,378,378,0,True
362,"(57, 52)",a photo of a person and a hot dog,57,52,a photo of a hot dog,96,96,0,True
348,"(36, 78)",a photo of a person holding a hair drier,36,78,a photo of a hair drier,47,47,0,True
349,"(59, 78)",a photo of a person operating a hair drier,59,78,a photo of a hair drier,48,48,0,True
453,"(8, 36)",a photo of a person carrying a skateboard,8,36,a photo of a skateboard,125,125,0,True
353,"(36, 26)",a photo of a person holding a handbag,36,26,a photo of a handbag,154,153,1,True
342,"(26, 23)",a photo of a person feeding a giraffe,26,23,a photo of a giraffe,157,157,0,True
369,"(8, 33)",a photo of a person carrying a kite,8,33,a photo of a kite,206,206,0,True
372,"(41, 33)",a photo of a person inspecting a kite,41,33,a photo of a kite,106,105,1,True
266,"(15, 55)",a photo of a person cutting a cake,15,55,a photo of a cake,297,297,0,True
534,"(36, 38)",a photo of a person holding a tennis racket,36,38,a photo of a tennis racket,233,232,1,True
25,"(26, 14)",a photo of a person feeding a bird,26,14,a photo of a bird,225,224,1,True
117,"(39, 16)",a photo of a person hugging a dog,39,16,a photo of a dog,176,176,0,True
202,"(41, 47)",a photo of a person inspecting an apple,41,47,a photo of an apple,29,29,0,True
204,"(66, 47)",a photo of a person picking an apple,66,47,a photo of an apple,28,28,0,True
13,"(43, 1)",a photo of a person jumping a bicycle,43,1,a photo of a bicycle,120,120,0,True
16,"(71, 1)",a photo of a person pushing a bicycle,71,1,a photo of a bicycle,115,115,0,True
384,"(58, 63)",a photo of a person opening a laptop,58,63,a photo of a laptop,36,36,0,True
49,"(41, 39)",a photo of a person inspecting a bottle,41,39,a photo of a bottle,52,51,1,True
244,"(49, 13)",a photo of a person lying on a bench,49,13,a photo of a bench,86,86,0,True
423,"(36, 53)",a photo of a person holding a pizza,36,53,a photo of a pizza,179,179,0,True
295,"(8, 41)",a photo of a person carrying a cup,8,41,a photo of a cup,135,135,0,True
452,"(57, 71)",a photo of a person and a sink,57,71,a photo of a sink,76,76,0,True
199,"(15, 47)",a photo of a person cutting an apple,15,47,a photo of an apple,18,18,0,True
203,"(64, 47)",a photo of a person peeling an apple,64,47,a photo of an apple,25,25,0,True
219,"(41, 46)",a photo of a person inspecting a banana,41,46,a photo of a banana,193,193,0,True
221,"(66, 46)",a photo of a person picking a banana,66,46,a photo of a banana,23,23,0,True
125,"(110, 16)",a photo of a person walking a dog,110,16,a photo of a dog,125,125,0,True
568,"(21, 7)",a photo of a person driving a truck,21,7,a photo of a truck,141,138,3,True
572,"(76, 7)",a photo of a person riding a truck,76,7,a photo of a truck,273,273,0,True
157,"(110, 3)",a photo of a person walking a motorcycle,110,3,a photo of a motorcycle,15,15,0,True
497,"(81, 32)",a photo of a person serving a sports ball,81,32,a photo of a sports ball,55,55,0,True
445,"(16, 76)",a photo of a person cutting with a scissors,16,76,a photo of a scissors,147,147,0,True
54,"(4, 5)",a photo of a person boarding a bus,4,5,a photo of a bus,3415,225,3190,True
490,"(9, 32)",a photo of a person catching a sports ball,9,32,a photo of a sports ball,82,82,0,True
437,"(57, 65)",a photo of a person and a remote,57,65,a photo of a remote,15,15,0,True
441,"(23, 48)",a photo of a person eating a sandwich,23,48,a photo of a sandwich,117,117,0,True
598,"(112, 22)",a photo of a person watching a zebra,112,22,a photo of a zebra,64,64,0,True
120,"(65, 16)",a photo of a person petting a dog,65,16,a photo of a dog,159,159,0,True
123,"(98, 16)",a photo of a person straddling a dog,98,16,a photo of a dog,15,15,0,True
134,"(45, 17)",a photo of a person kissing a horse,45,17,a photo of a horse,11,11,0,True
524,"(93, 37)",a photo of a person standing on a surfboard,93,37,a photo of a surfboard,151,151,0,True
575,"(57, 7)",a photo of a person and a truck,57,7,a photo of a truck,233,233,0,True
173,"(57, 58)",a photo of a person and a potted plant,57,58,a photo of a potted plant,204,202,2,True
224,"(5, 34)",a photo of a person breaking a baseball bat,5,34,a photo of a baseball bat,45,45,0,True
175,"(26, 18)",a photo of a person feeding a sheep,26,18,a photo of a sheep,94,93,1,True
133,"(43, 17)",a photo of a person jumping a horse,43,17,a photo of a horse,137,137,0,True
330,"(36, 42)",a photo of a person holding a fork,36,42,a photo of a fork,132,132,0,True
331,"(50, 42)",a photo of a person lifting a fork,50,42,a photo of a fork,99,99,0,True
583,"(57, 25)",a photo of a person and a umbrella,57,25,a photo of a umbrella,413,413,0,True
444,"(57, 48)",a photo of a person and a sandwich,57,48,a photo of a sandwich,75,75,0,True
341,"(57, 29)",a photo of a person and a frisbee,57,29,a photo of a frisbee,78,78,0,True
309,"(54, 54)",a photo of a person making a donut,54,54,a photo of a donut,44,44,0,True
290,"(11, 74)",a photo of a person checking a clock,11,74,a photo of a clock,68,68,0,True
312,"(57, 54)",a photo of a person and a donut,57,54,a photo of a donut,257,257,0,True
306,"(8, 54)",a photo of a person carrying a donut,8,54,a photo of a donut,55,55,0,True
12,"(41, 1)",a photo of a person inspecting a bicycle,41,1,a photo of a bicycle,129,128,1,True
17,"(75, 1)",a photo of a person repairing a bicycle,75,1,a photo of a bicycle,84,84,0,True
256,"(57, 45)",a photo of a person and a bowl,57,45,a photo of a bowl,55,54,1,True
538,"(0, 27)",a photo of a person adjusting a tie,0,27,a photo of a tie,61,57,4,True
540,"(36, 27)",a photo of a person holding a tie,36,27,a photo of a tie,83,83,0,True
299,"(69, 41)",a photo of a person pouring a cup,69,41,a photo of a cup,15,15,0,True
424,"(54, 53)",a photo of a person making a pizza,54,53,a photo of a pizza,58,58,0,True
579,"(58, 25)",a photo of a person opening a umbrella,58,25,a photo of a umbrella,12,12,0,True
415,"(63, 12)",a photo of a person paying a parking meter,63,12,a photo of a parking meter,24,24,0,True
473,"(57, 30)",a photo of a person and a skis,57,30,a photo of a skis,18,18,0,True
150,"(62, 3)",a photo of a person parking a motorcycle,62,3,a photo of a motorcycle,98,98,0,True
425,"(67, 53)",a photo of a person picking up a pizza,67,53,a photo of a pizza,49,49,0,True
501,"(57, 32)",a photo of a person and a sports ball,57,32,a photo of a sports ball,19,19,0,True
92,"(8, 57)",a photo of a person carrying a couch,8,57,a photo of a couch,28,28,0,True
433,"(57, 72)",a photo of a person and a refrigerator,57,72,a photo of a refrigerator,36,36,0,True
573,"(87, 7)",a photo of a person sitting on a truck,87,7,a photo of a truck,192,192,0,True
591,"(106, 40)",a photo of a person toasting a wine glass,106,40,a photo of a wine glass,74,74,0,True
2,"(25, 4)",a photo of a person exiting an airplane,25,4,a photo of an airplane,54,53,1,True
213,"(57, 24)",a photo of a person and a backpack,57,24,a photo of a backpack,138,138,0,True
316,"(39, 20)",a photo of a person hugging an elephant,39,20,a photo of an elephant,13,13,0,True
527,"(57, 37)",a photo of a person and a surfboard,57,37,a photo of a surfboard,160,160,0,True
323,"(112, 20)",a photo of a person watching an elephant,112,20,a photo of an elephant,605,605,0,True
276,"(23, 51)",a photo of a person eating a carrot,23,51,a photo of a carrot,37,37,0,True
246,"(57, 13)",a photo of a person and a bench,57,13,a photo of a bench,200,200,0,True
237,"(112, 21)",a photo of a person watching a bear,112,21,a photo of a bear,95,95,0,True
